Title,Author,Date,Channel URL, Video URL
Acer Predator Triton 700 Review - My FAVORITE Gaming Laptop!,Dave Lee,2017-09-27T03:30:03.000Z,https://www.youtube.com/channel/UCVYamHliCI9rw1tHR1xbkfw,https://www.youtube.com/watch?v=ydzC7jb5C4s
The New Screen Savers 124: iPhone 8 Plus vs. Galaxy Note 8,The New Screen Savers,2017-10-01T03:22:15.000Z,https://www.youtube.com/channel/UCFP9Euhwi3GqbQmWS-M-0hA,https://www.youtube.com/watch?v=tlL-rtgzZjU
Steve Jobs introduces original MacBook Air & Time Capsule - Macworld SF (2008),EverySteveJobsVideo,2014-01-07T18:55:45.000Z,https://www.youtube.com/channel/UCCmyTnCbjOoWNq3bsM3BovA,https://www.youtube.com/watch?v=1CgAKBf4bbU
